red stones,blue stones,red win rate,blue win rate
100,100,65.13%,34.87%
100,101,63.85%,36.14%
100,102,62.92%,37.08%
100,103,62.10%,37.90%
100,104,60.66%,39.34%
100,105,59.54%,40.46%
100,106,58.20%,41.80%
100,107,57.30%,42.70%
100,108,55.67%,44.32%
100,109,54.87%,45.13%
100,110,53.58%,46.42%
100,111,52.54%,47.46%
100,112,51.70%,48.30%
100,113,50.43%,49.57%
100,114,49.08%,50.92%
100,115,48.20%,51.80%
200,200,58.04%,41.96%
200,201,57.28%,42.71%
200,202,56.96%,43.04%
200,203,56.38%,43.62%
200,204,55.67%,44.32%
200,205,54.78%,45.22%
200,206,54.32%,45.68%
200,207,53.91%,46.09%
200,208,53.35%,46.64%
200,209,52.57%,47.43%
200,210,52.05%,47.95%
200,211,51.30%,48.70%
200,212,50.79%,49.21%
200,213,50.34%,49.66%
200,214,49.91%,50.09%
200,215,49.12%,50.88%
500,500,53.05%,46.95%
500,501,53.10%,46.91%
500,502,52.83%,47.17%
500,503,52.48%,47.52%
500,504,52.60%,47.40%
500,505,52.31%,47.69%
500,506,51.66%,48.34%
500,507,51.69%,48.31%
500,508,51.30%,48.70%
500,509,50.94%,49.06%
500,510,50.96%,49.04%
500,511,50.71%,49.29%
500,512,50.28%,49.73%
500,513,50.06%,49.94%
500,514,49.87%,50.13%
500,515,49.94%,50.06%
1000,1000,51.65%,48.35%
1000,1001,51.41%,48.59%
1000,1002,51.37%,48.63%
1000,1003,51.27%,48.73%
1000,1004,51.38%,48.62%
1000,1005,51.11%,48.89%
1000,1006,51.21%,48.79%
1000,1007,50.87%,49.13%
1000,1008,50.89%,49.11%
1000,1009,50.54%,49.46%
1000,1010,50.56%,49.45%
1000,1011,50.49%,49.51%
1000,1012,50.12%,49.88%
1000,1013,49.86%,50.14%
1000,1014,50.09%,49.91%
1000,1015,50.00%,50.00%
