game,red_total_stones,blue_total_stones,red_score,blue_score,tied_rounds_won_by_red,winner,red_round_1,red_round_2,red_round_3,red_round_4,red_round_5,red_round_6,red_round_7,red_round_8,red_round_9,red_round_10,red_round_11,red_round_12,red_round_13,red_round_14,red_round_15,blue_round_1,blue_round_2,blue_round_3,blue_round_4,blue_round_5,blue_round_6,blue_round_7,blue_round_8,blue_round_9,blue_round_10,blue_round_11,blue_round_12,blue_round_13,blue_round_14,blue_round_15
1,100,107,9,6,1,red,3,8,2,1,3,11,3,4,34,12,5,8,0,0,6,3,0,1,7,14,2,2,25,10,7,4,2,6,8,16
2,100,107,9,6,1,red,0,20,8,7,0,8,10,1,3,12,6,14,0,8,3,5,6,1,1,6,8,6,10,1,1,3,29,20,6,4
3,100,107,8,7,0,red,10,5,9,13,9,2,10,10,2,3,6,1,10,3,7,5,3,2,2,17,0,6,2,11,10,23,3,14,8,1
4,100,107,7,8,0,blue,9,11,1,5,8,11,1,1,30,4,1,3,2,2,11,20,8,3,3,7,7,11,9,3,10,6,1,5,14,0
5,100,107,8,7,1,red,4,3,1,19,0,2,5,6,0,11,21,19,7,1,1,17,1,13,2,0,17,8,5,5,3,11,1,12,0,12
6,100,107,8,7,1,red,6,5,3,3,2,9,18,5,3,9,2,9,0,22,4,8,12,12,16,1,5,5,8,3,6,0,4,7,14,6
7,100,107,8,7,1,red,1,13,0,20,3,6,12,13,14,5,0,5,4,2,2,0,13,7,2,11,5,20,6,0,16,12,0,5,10,0
8,100,107,6,9,1,blue,0,19,1,5,16,6,17,3,2,7,1,4,16,2,1,2,5,3,0,4,16,0,9,7,16,10,21,10,3,1
9,100,107,8,7,2,red,8,8,0,5,12,27,2,5,1,2,7,7,13,1,2,25,2,12,8,4,3,2,13,14,2,3,3,2,3,11
10,100,107,8,7,2,red,0,2,6,7,13,0,1,2,12,14,9,4,5,0,25,4,3,1,1,0,20,1,5,7,20,3,15,5,5,17
11,100,107,7,8,0,blue,12,0,4,8,3,4,21,8,0,9,4,0,19,8,0,6,1,5,33,6,1,2,1,4,23,1,1,2,7,14
12,100,107,6,9,0,blue,13,4,6,1,0,7,0,4,8,11,3,2,9,25,7,1,5,3,2,1,9,9,26,13,1,13,13,7,4,0
13,100,107,4,11,0,blue,0,7,14,6,6,15,1,2,1,6,3,1,38,0,0,7,12,5,3,9,1,17,8,9,13,5,2,2,7,7
14,100,107,6,9,0,blue,6,1,0,0,13,20,21,3,3,2,5,0,20,1,5,8,0,2,5,8,7,1,20,14,7,2,2,0,10,21
15,100,107,7,8,0,blue,5,5,16,7,7,0,13,13,6,2,5,5,1,6,9,1,8,7,14,3,5,2,10,8,0,21,3,3,11,11
16,100,107,9,6,0,red,8,1,3,4,4,7,4,2,3,8,3,17,4,4,28,1,37,0,18,11,2,1,8,5,2,5,13,1,2,1
17,100,107,7,8,0,blue,13,0,1,3,2,7,7,1,2,34,7,7,7,4,5,6,5,15,6,1,2,8,11,8,2,17,0,6,19,1
18,100,107,9,6,0,red,0,5,11,4,13,9,12,2,14,1,10,9,4,4,2,1,3,5,5,2,2,1,28,8,14,1,4,14,18,1
19,100,107,9,6,2,red,5,0,8,13,5,8,6,0,1,6,19,14,2,12,1,3,16,1,2,0,8,12,10,27,15,1,5,2,1,4
20,100,107,8,7,1,red,4,9,7,5,3,3,3,14,4,8,25,4,5,6,0,3,21,4,1,6,4,3,2,7,7,26,17,3,1,2
21,100,107,7,8,0,blue,3,5,6,8,11,2,7,2,7,14,3,14,4,12,2,4,9,1,19,7,4,11,0,10,9,2,1,16,7,7
22,100,107,6,9,0,blue,0,5,19,8,17,6,11,2,5,14,3,2,2,0,6,8,7,10,13,2,2,4,9,9,15,5,1,0,7,15
23,100,107,7,8,1,blue,16,8,13,2,2,7,3,1,1,17,15,0,1,3,11,0,22,4,10,2,0,13,4,15,2,6,17,5,6,1
24,100,107,8,7,2,red,21,6,14,15,0,3,1,5,9,3,6,1,2,8,6,10,1,17,2,6,3,3,23,14,2,3,2,10,8,3
25,100,107,8,7,3,red,3,2,4,9,6,1,6,22,5,2,13,5,2,18,2,0,13,5,13,18,2,12,20,5,1,2,5,2,1,8
26,100,107,9,6,2,red,6,9,2,5,6,3,23,4,1,0,7,5,14,4,11,40,14,2,1,7,3,3,1,5,2,14,4,8,2,1
27,100,107,8,7,1,red,20,11,2,2,22,3,2,4,14,1,14,1,2,1,1,9,1,7,2,11,0,4,1,1,4,2,14,13,22,16
